Province_State,Country_Region,Date,UID,Last_Update,FIPS,ISO3,Long_,Lat,Confirmed,Deaths,Recovered,Active,Mortality_Rate,People_Tested,Testing_Rate,People_Hospitalized,Hospitalization_Rate,Incident_Rate,Case_Fatality_Ratio,Total_Test_Results
Alabama,US,2020-04-12,84000001,2020-04-12 23:18:15,1,USA,-86.9023,32.3182,3667,93,,3470,2.610159978,21583,460.3001516,437,12.26494527,75.98802021,,
Alaska,US,2020-04-12,84000002,2020-04-12 23:18:15,2,USA,-152.4044,61.3707,272,8,66,264,2.941176471,8038,1344.711576,31,11.39705882,45.50404936,,
American Samoa,US,2020-04-12,16,,60,ASM,-170.1322,-14.271,0,0,,0,,3,5.391707554,,,0.0,,
Arizona,US,2020-04-12,84000004,2020-04-12 23:18:15,4,USA,-111.4312,33.7298,3542,115,,3427,3.246753247,42109,578.5222863,,,48.66242224,,
Arkansas,US,2020-04-12,84000005,2020-04-12 23:18:15,5,USA,-92.3731,34.9697,1280,27,367,1253,2.109375,19722,761.7533537,130,10.15625,49.43942261,,
California,US,2020-04-12,84000006,2020-04-12 23:18:15,6,USA,-119.6816,36.1162,22795,640,,22155,2.81202018,190328,485.4238685,5234,22.9611757,58.13772584,,
Colorado,US,2020-04-12,84000008,2020-04-12 23:18:15,8,USA,-105.3111,39.0598,7307,289,,7018,3.955111537,34873,615.3899908,1376,18.8312577,128.943729,,
Connecticut,US,2020-04-12,84000009,2020-04-12 23:18:15,9,USA,-72.7554,41.5978,12035,554,,11481,4.603240548,41220,1156.148159,1654,13.74324886,337.5604825,,
Delaware,US,2020-04-12,84000010,2020-04-12 23:18:15,10,USA,-75.5071,39.3185,1625,35,191,1590,2.153846154,11103,1140.214672,190,11.69230769,166.8782169,,
Diamond Princess,US,2020-04-12,84088888,2020-04-12 23:18:15,888,USA,,,49,0,0,49,0.0,,,,,,,
District of Columbia,US,2020-04-12,84000011,2020-04-12 23:18:15,11,USA,-77.0268,38.8974,1875,50,493,1825,2.666666667,10640,1507.618148,,,265.6751905,,
Florida,US,2020-04-12,84000012,2020-04-12 23:18:15,12,USA,-81.6868,27.7663,19895,461,,19434,2.317165117,182753,860.7186513,2772,13.93314903,93.70022691,,
Georgia,US,2020-04-12,84000013,2020-04-12 23:18:15,13,USA,-83.6431,33.0406,12452,433,,12019,3.477353036,54453,537.0439828,2505,20.11725024,122.8081405,,
Grand Princess,US,2020-04-12,84099999,2020-04-12 23:18:15,999,USA,,,103,0,0,103,0.0,,,,,,,
Guam,US,2020-04-12,316,2020-04-12 23:18:15,66,GUM,144.7937,13.4443,133,5,58,128,3.759398496,826,502.9562379,13,9.77443609,80.98447899,,
Hawaii,US,2020-04-12,84000015,2020-04-12 23:18:15,15,USA,-157.4983,21.0943,499,9,300,490,1.803607214,17968,1269.118355,44,8.817635271,35.24543964,,
Idaho,US,2020-04-12,84000016,2020-04-12 23:18:15,16,USA,-114.4788,44.2405,1407,27,,1380,1.918976546,14308,888.4214004,131,9.310589908,87.36433536,,
Illinois,US,2020-04-12,84000017,2020-04-12 23:18:15,17,USA,-88.9861,40.3495,20852,720,,20132,3.452906196,100735,858.3672336,3680,17.64818722,177.6807818,,
